,COSTO_UNITARIO,COSTO_UNITARIO_CALCULADO,SUBTOTAL_PARTIDA,COSTO_TOTAL_CALCULADO
925,62.95,62.95,154.31,62.95
926,48.2,48.2,120.0,48.2
927,0.0,183.81,3308.68,367.61
928,0.0,0.0,7444.77,0.0
929,457.78,457.78,4522.0,1831.12
930,249.45,249.45,1284.0,249.45
931,2754.67,2754.67,25258.15,2754.67
932,210.24,210.24,668.0,210.24
933,0.0,120.77,758.5,120.77
934,10.82,10.82,1575.0,32.46
935,43.81,43.81,3751.2,262.85
936,48.94,48.94,1875.6,146.81
937,78.65,78.65,155.0,78.65
938,227.62,227.62,2949.0,682.85
939,0.0,66.88,535.0,66.88
940,48.2,48.2,125.0,48.2
941,62.95,62.95,155.0,62.95
942,6587.67,6587.67,1048.97,6587.67
943,348.7,348.7,2112.7,697.4
944,242.78,242.78,1970.0,485.55
945,0.0,31.14,661.2,31.14
946,185.95,185.95,18700.0,3719.07
947,457.71,457.71,13065.0,2746.25
948,0.0,182.87,5973.0,548.62
949,4.8,4.8,1230.0,48.02
950,135.18,135.18,2116.5,405.53
951,136.6,136.6,2116.5,409.8
952,210.24,210.24,4242.0,1471.68
953,260.2,260.2,813.0,260.2
954,216.17,216.17,6118.4,1729.33
955,97.49,97.49,265.08,97.49
956,173.0,173.0,597.0,173.0
957,0.0,333.77,7756.0,1668.85
958,0.0,369.86,1584.6,369.86
959,0.0,88.53,1349.64,177.06
960,2613.6,2613.6,36965.56,5227.2
961,0.0,129.95,2160.0,389.85
962,0.0,0.0,9700.0,0.0
963,223.04,223.04,653.0,223.04
964,0.0,43.93,2200.0,87.87
965,0.0,1062.78,4372.0,2125.57
966,0.0,144.47,3516.4,1444.71
967,0.0,360.69,3948.62,721.38
968,0.0,886.73,2874.31,886.73
969,0.0,610.78,4430.0,1221.56
970,253.0,253.0,924.0,506.0
971,0.0,1204.71,8873.08,4818.85
972,0.0,71.02,1225.2,142.04
973,0.0,1048.9,16000.0,5244.49
974,0.0,126.46,9372.0,1517.55
975,0.0,191.22,17700.0,2868.3
976,314.44,314.44,29506.0,6288.76
977,363.31,363.31,22891.6,7266.24
978,92.32,92.32,6616.0,1846.35
979,741.05,741.05,10484.6,2964.18
980,0.0,119.95,1038.28,239.89
981,470.05,470.05,1443.3,470.05
982,0.0,217.51,1033.0,217.51
983,39.22,39.22,295.0,39.22
984,84.41,84.41,3860.0,844.11
985,260.2,260.2,813.1,260.2
986,1216.54,1216.54,3450.74,1216.54
987,78.65,78.65,225.0,78.65
988,0.0,927.84,2256.35,927.84
989,260.2,260.2,2196.0,780.6
990,0.0,240.58,8940.0,2887.02
991,0.0,226.8,8642.0,2268.0
992,226.23,226.23,1999.81,452.46
993,693.77,693.77,1800.0,693.77
994,1261.99,1261.99,2068.5,1261.99
995,0.0,1165.13,3213.0,1165.13
996,0.0,1067.99,9856.8,4271.95
997,313.65,313.65,16200.0,6273.1
998,0.0,521.55,1075.31,521.55
999,0.0,127.11,6028.0,1016.9
1000,42.8,42.8,497.89,42.8
1001,0.0,679.75,7200.0,2039.25
1002,100.13,100.13,1294.0,200.26
1003,894.91,894.91,1294.0,1789.82
1004,0.0,102.31,1125.0,204.63
1005,260.2,260.2,1626.21,520.4
1006,137.83,137.83,6879.51,1240.49
1007,203.69,203.69,941.77,203.69
1008,126.54,126.54,669.35,126.54
1009,68.35,68.35,1726.0,136.7
1010,388.11,388.11,1045.31,388.11
1011,68.35,68.35,1803.0,136.7
1012,330.66,330.66,3192.0,991.99
1013,331.61,331.61,29506.0,6632.15
1014,1388.82,1388.82,3730.0,1388.82
1015,144.4,144.4,485.0,144.4
1016,0.0,436.59,4556.9,873.18
1017,0.0,176.15,817.89,176.15
1018,253.0,253.0,385.0,253.0
1019,77.13,77.13,3860.0,771.29
1020,0.0,112.39,5353.05,337.18
1021,107.5,107.5,2630.32,429.99
1022,158.36,158.36,3118.0,633.45
1023,265.64,265.64,871.44,531.27
1024,125.68,125.68,700.82,251.36
1025,57.6,57.6,327.59,57.6
1026,0.0,170.16,12500.0,1701.62
1027,253.0,253.0,462.0,253.0
1028,0.0,28.41,596.0,28.41
1029,286.59,286.59,6995.0,2865.87
1030,168.4,168.4,2397.3,505.21
1031,78.65,78.65,2100.0,1101.12
1032,265.64,265.64,3000.0,1593.82
1033,91.4,91.4,960.34,91.4
1034,0.0,13.33,772.0,13.33
1035,0.0,1139.58,4972.3,1139.58
1036,0.0,281.46,1385.0,281.46
1037,406.12,406.12,1848.9,406.12
1038,0.0,341.41,2419.6,682.82
1039,0.0,348.92,690.0,697.83
1040,0.0,68.25,1057.78,136.5
1041,226.23,226.23,999.91,226.23
1042,226.23,226.23,999.91,226.23
1043,955.68,955.68,4372.0,1911.36
1044,97.49,97.49,264.0,97.49
1045,0.0,896.15,2660.9,896.15
1046,0.0,9353.62,22417.6,9353.62
1047,78.65,78.65,155.0,78.65
1048,0.0,197.53,899.0,197.53
1049,0.0,72.88,556.7,72.88
1050,0.0,400.95,1103.45,400.95
1051,0.0,159.65,930.0,159.65
1052,0.0,369.66,2535.87,1108.97
1053,0.0,585.2,4930.0,1170.39
1054,130.97,130.97,2116.5,392.91
1055,0.0,143.89,4233.0,863.31
1056,0.0,502.32,5508.0,3013.94
1057,0.0,239.08,915.0,239.08
1058,0.0,103.21,2146.95,309.63
1059,0.0,182.6,2060.0,730.4
1060,438.39,438.39,4751.0,876.79
1061,523.53,523.53,2080.85,523.53
1062,164.55,164.55,1899.18,164.55
1063,33387.05,33387.05,3298.28,33387.05
1064,78.65,78.65,150.0,78.65
1065,253.0,253.0,442.75,253.0
1066,220.0,220.0,462.0,220.0
1067,345.97,345.97,1165.95,345.97
1068,0.0,345.97,1165.95,345.97
1069,0.0,71.72,3052.0,286.9
1070,0.0,167.31,3380.0,669.24
1071,685.68,685.68,1615.0,685.68
1072,685.68,685.68,1615.0,685.68
1073,685.68,685.68,1615.0,685.68
1074,685.68,685.68,1615.0,685.68
1075,144.4,144.4,970.0,288.8
1076,816.73,1743.86,70020.0,16025.97
1077,930.34,2064.16,70020.0,19187.82
1078,48.2,48.2,500.0,192.79
1079,0.0,21.33,1056.48,170.62
1080,1116.84,1116.84,3706.5,2233.68
1081,0.0,55.13,1705.06,110.26
1082,155.35,155.35,3581.0,310.7
1083,253.99,253.99,3800.0,507.97
1084,0.0,477.16,1280.14,477.16
1085,0.0,518.59,9786.0,5185.87
1086,0.0,136.25,3660.0,681.25
1087,0.0,312.11,5400.0,936.33
1088,0.0,274.93,3258.69,824.78
1089,0.0,207.16,2098.14,621.48
1090,667.91,667.91,32200.0,6679.11
1091,0.0,1798.56,23160.0,7194.25
1092,57.6,57.6,1260.0,230.4
1093,288.77,288.77,44259.0,8663.07
1094,0.0,131.24,2328.52,524.96
1095,0.0,126.1,1546.12,252.21
1096,6.0,6.0,65.35,60.0
1097,50.94,50.94,2098.6,356.56
1098,0.0,751.86,33082.5,22555.72
1099,62.95,62.95,465.0,188.86
1100,0.0,326.25,2660.7,652.49
1101,0.0,6073.5,34786.12,12146.99
1102,332.9,332.9,8250.0,3329.01
1103,0.0,131.36,1283.8,131.36
1104,0.0,1721.28,75476.0,6885.12
1105,0.0,144.87,1162.92,289.73
1106,0.0,96.17,1110.12,192.34
1107,800.35,800.35,28363.44,6402.83
1108,0.0,328.39,1370.74,328.39
1109,0.0,273.77,1018.0,273.77
1110,0.0,133.04,1635.58,266.08
1111,0.0,325.23,2122.56,1300.94
1112,222.0,222.0,732.0,222.0
1113,90.91,90.91,210.0,90.91
1114,113.59,113.59,305.5,113.59
1115,144.4,144.4,1940.0,577.6
1116,0.0,413.55,965.4,413.55
1117,236.6,236.6,3030.0,1182.99
1118,0.0,113.64,3980.0,1136.37
1119,0.0,187.54,1157.93,187.54
1120,0.0,1088.23,4500.0,1088.23
1121,0.0,66.79,1399.04,133.59
1122,220.0,220.0,462.0,220.0
1123,0.0,59.54,899.4,178.63
1124,62.95,62.95,310.0,125.91
1125,0.0,0.0,2533.27,0.0
1126,338.22,338.22,9438.8,1352.89
1127,0.0,49.16,772.6,49.16
1128,220.0,220.0,1848.28,880.0
1129,0.0,0.0,3583.98,0.0
1130,0.0,207.69,1864.0,415.38
1131,0.0,126.52,1461.6,253.04
1132,0.0,329.0,1911.0,329.0
1133,600.03,600.03,4717.35,1800.09
1134,0.0,144.4,4850.0,1444.0
1135,0.0,355.3,6764.76,2131.82
1136,2392.5,2392.5,1800.0,2392.5
1137,421.11,421.11,1130.5,421.11
1138,89.76,89.76,675.97,89.76
1139,72.34,72.34,730.17,72.34
1140,0.0,521.39,16770.0,5213.9
1141,0.0,1627.09,12225.0,8135.45
1142,0.0,0.0,2792.0,0.0
1143,0.0,315.51,29506.0,6310.2
1144,640.51,640.51,9159.75,1921.52
1145,0.0,197.53,899.0,197.53
1146,0.0,76.71,3717.0,460.25
1147,0.0,70.7,699.5,70.7
1148,316.45,316.45,650.0,316.45
1149,0.0,93.3,2480.4,559.81
1150,0.0,100.7,4150.0,1007.01
1151,124.77,124.77,4070.0,1247.67
1152,0.0,132.16,5412.5,1321.62
1153,0.0,138.9,4956.0,972.31
1154,0.0,119.27,4880.0,1192.74
1155,0.0,52.12,16152.5,521.21
1156,586.32,586.32,6168.6,1758.97
1157,0.0,47.84,662.57,47.84
1158,0.0,99.37,815.07,99.37
1159,0.0,142.2,876.98,142.2
1160,0.0,39.85,588.0,39.85
1161,131.45,131.45,7921.1,1314.54
1162,137.63,137.63,7987.9,1376.26
1163,203.69,203.69,984.15,203.69
1164,126.29,126.29,699.47,126.29
1165,127.62,127.62,2116.5,382.87
1166,1119.39,1119.39,17372.82,6716.37
1167,331.33,331.33,670.69,331.33
1168,379.55,379.55,1466.21,379.55
1169,82.34,82.34,6160.8,494.02
1170,245.96,245.96,6990.0,1475.75
1171,67.84,67.84,485.0,67.84
1172,2496.65,2496.65,11530.98,4993.3
1173,982.4,982.4,42790.0,10806.45
1174,130.12,130.12,3600.0,650.58
1175,78.68,78.68,1170.0,472.05
